add-none,2,100,400,133610,334,39
add-none,2,1000,4000,147874,36,916
add-none,2,10000,40000,561301,14,-512
add-none,2,100000,400000,3724602,9,-184
add-none,4,100,800,166418,208,-42
add-none,4,1000,8000,224386,28,-360
add-none,4,10000,80000,1326531,16,-4629
add-none,4,100000,800000,11484719,14,-77612
add-none,8,100,1600,269389,168,0
add-none,8,1000,16000,375215,23,1905
add-none,8,10000,160000,2304659,14,-1387
add-none,8,100000,1600000,24465779,15,-45256
add-none,12,100,2400,1537231,640,0
add-none,12,1000,24000,441600,18,1470
add-none,12,10000,240000,3520565,14,-1297
add-none,12,100000,2400000,34246626,14,-13667
add-yield-none,2,10,40,110362,2759,0
add-yield-none,4,10,80,129538,1619,0
add-yield-none,8,10,160,237693,1485,0
add-yield-none,12,10,240,339320,1413,0
add-yield-none,2,20,80,93077,1163,0
add-yield-none,4,20,160,120917,755,6
add-yield-none,8,20,320,206335,644,20
add-yield-none,12,20,480,307542,640,35
add-yield-none,2,40,160,74232,463,28
add-yield-none,4,40,320,112902,352,57
add-yield-none,8,40,640,257146,401,123
add-yield-none,12,40,960,319485,332,88
add-yield-none,2,80,320,172538,539,-64
add-yield-none,4,80,640,218588,341,104
add-yield-none,8,80,1280,305247,238,86
add-yield-none,12,80,1920,1168877,608,240
add-yield-none,2,100,400,130780,326,19
add-yield-none,4,100,800,245408,306,58
add-yield-none,8,100,1600,351178,219,115
add-yield-none,12,100,2400,451554,188,197
add-yield-none,2,1000,4000,815257,203,-11
add-yield-none,4,1000,8000,1060616,132,195
add-yield-none,8,1000,16000,1831277,114,-98
add-yield-none,12,1000,24000,2480182,103,-37
add-yield-none,2,10000,40000,7228138,180,-433
add-yield-none,4,10000,80000,9269192,115,128
add-yield-none,8,10000,160000,16415091,102,223
add-yield-none,12,10000,240000,23053661,96,-938
add-yield-none,2,100000,400000,69714900,174,7
add-yield-none,4,100000,800000,94579287,118,-6478
add-yield-none,8,100000,1600000,151364326,94,-5540
add-yield-none,12,100000,2400000,220662905,91,-8782
add-none,1,100,200,92288,461,0
add-none,1,1000,2000,126537,63,0
add-none,1,10000,20000,252396,12,0
add-none,1,100000,200000,1395847,6,0
add-none,1,1000000,2000000,12401430,6,0
add-none,2,100,400,114780,286,0
add-none,2,1000,4000,91280,22,0
add-none,2,10000,40000,552438,13,-37
add-none,2,100000,400000,3826345,9,-6956
add-none,2,1000000,4000000,44482943,11,-27238
add-none,4,100,800,163590,204,0
add-none,4,1000,8000,208326,26,274
add-none,4,10000,80000,1219005,15,-6969
add-none,4,100000,800000,11711021,14,-27840
add-none,4,1000000,8000000,97960580,12,-180684
add-yield-none,1,100,200,175117,875,0
add-yield-none,1,1000,2000,600150,300,0
add-yield-none,1,10000,20000,4717491,235,0
add-yield-none,1,100000,200000,43620945,218,0
add-yield-none,1,1000000,2000000,433901895,216,0
add-yield-none,2,100,400,131252,328,16
add-yield-none,2,1000,4000,755787,188,-7
add-yield-none,2,10000,40000,7206519,180,-684
add-yield-none,2,100000,400000,69267474,173,-5022
add-yield-none,2,1000000,4000000,700648060,175,-6170
add-yield-none,4,100,800,230655,288,72
add-yield-none,4,1000,8000,1004585,125,-173
add-yield-none,4,10000,80000,9395095,117,-538
add-yield-none,4,100000,800000,84977701,106,-11761
add-yield-none,4,1000000,8000000,997479620,124,-119947
add-yield-m,2,10000,40000,16901015,422,0
add-yield-m,4,10000,80000,64794715,809,0
add-yield-m,8,10000,160000,165099967,1031,0
add-yield-m,12,10000,240000,238519691,993,0
add-yield-c,2,10000,40000,2170383,54,0
add-yield-c,4,10000,80000,6594617,82,0
add-yield-c,8,10000,160000,14742194,92,0
add-yield-c,12,10000,240000,22887240,95,0
add-yield-s,2,10000,40000,16493815,412,0
add-yield-s,4,10000,80000,67783142,847,0
add-yield-s,8,1000,16000,17285337,1080,0
add-yield-s,12,1000,24000,34758435,1448,0
add-m,1,10000,20000,680654,34,0
add-m,2,10000,40000,2839012,70,0
add-m,4,10000,80000,14695486,183,0
add-m,8,10000,160000,23451252,146,0
add-m,12,10000,240000,33851451,141,0
add-c,1,10000,20000,479811,23,0
add-c,2,10000,40000,1893426,47,0
add-c,4,10000,80000,5881523,73,0
add-c,8,10000,160000,13503273,84,0
add-c,12,10000,240000,23255567,96,0
add-s,1,10000,20000,336767,16,0
add-s,2,10000,40000,2283776,57,0
add-s,4,10000,80000,13451749,168,0
add-s,8,10000,160000,56541773,353,0
add-s,12,10000,240000,119753770,498,0
